name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Houston,2019-01-19,21.1,4.5,11.7,21.1,0,9.9,3.7,59.9,5.272,100,16.67,rain,0,0,70.2,31.6,304,1015.9,50.2,15.4,128.3,11.1,8,,2019-01-19T07:16:55,2019-01-19T17:47:43,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KHOU,72059400188,AN537,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-01-20,11.9,0.2,5.8,11.9,-4.7,3.4,-4.2,50.4,0,0,0,,0,0,34.2,24.1,345.3,1026.7,4.5,16,164.5,14.2,7,,2019-01-20T07:16:40,2019-01-20T17:48:35,0.5,Clear,Clear conditions throughout the day.,clear-day,"KHOU,72059400188,AN537,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-01-21,17,6,11.8,17,5.3,11.8,5.5,65.6,0,0,0,,0,0,38.9,11.5,127.9,1022,64.3,15.8,100.2,8.8,5,,2019-01-21T07:16:22,2019-01-21T17:49:27,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,AN537,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-01-22,22,16,19.2,22,16,19.2,14.2,73.2,0,0,0,,0,0,44.2,22.9,156.2,1013,77.7,13.6,64.5,5.6,3,,2019-01-22T07:16:04,2019-01-22T17:50:19,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,AN537,KIAH,AN528,E5607,KMCJ,72244012918,72243012960"
Houston,2019-01-23,19.1,3,6.5,19.1,-1.3,3.3,0.2,67.4,11.322,100,45.83,rain,0,0,50.5,28.2,317.3,1018.5,44.7,12.2,70.7,6.1,5,,2019-01-23T07:15:43,2019-01-23T17:51:11,0.59,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"KHOU,72059400188,AN537,AN528,KIAH,E5607,KMCJ,72244012918,72243012960,D0326"
Houston,2019-01-24,15.8,4.3,9.3,15.8,3.6,9,-4.7,38.8,0,0,0,,0,0,,12.8,355.4,1021.4,0.1,16,176.2,15.3,7,,2019-01-24T07:15:21,2019-01-24T17:52:04,0.62,Clear,Clear conditions throughout the day.,clear-day,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-01-25,17.3,6.2,11.1,17.3,6.2,11.1,1.4,52.9,0,0,0,,0,0,27.7,10.5,87.2,1025.7,14.1,15.8,156.7,13.7,7,,2019-01-25T07:14:57,2019-01-25T17:52:56,0.65,Clear,Clear conditions throughout the day.,clear-day,"KHOU,72059400188,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-01-26,18.7,9.1,12.9,18.7,8.4,12.9,8.1,73.8,0.014,100,4.17,rain,0,0,22.3,9.8,55.6,1022.5,56.7,15.7,110.5,9.5,7,,2019-01-26T07:14:32,2019-01-26T17:53:48,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KHOU,72059400188,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-01-27,19.2,10.9,14,19.2,10.9,14,7,66.5,0.028,100,8.33,rain,0,0,29.5,17.7,318.4,1020.1,32.2,15.7,110.3,9.5,6,,2019-01-27T07:14:05,2019-01-27T17:54:40,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KHOU,72059400188,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-01-28,22.8,11.5,15.9,22.8,11.5,15.9,9.3,67.3,1.208,100,4.17,rain,0,0,50.3,39.2,219,1013.3,30,15.5,147.6,12.6,6,,2019-01-28T07:13:37,2019-01-28T17:55:32,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KHOU,72059400188,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-01-29,11,3,7.4,11,-2.2,4.3,-7.5,37.4,0.733,100,8.33,rain,0,0,53.8,33.8,3.1,1023.9,14.1,15.8,169.6,14.8,7,,2019-01-29T07:13:07,2019-01-29T17:56:24,0.79,Rain,Clear conditions throughout the day with early morning rain.,rain,"KHOU,72059400188,KIAH,AN528,E5607,KMCJ,72244012918,72243012960"
Houston,2019-01-30,12.1,5.4,8.4,12.1,2.8,7.1,-3.5,44.6,0,0,0,,0,0,29.5,16.4,58.1,1024.5,49.9,16,96.2,8.3,5,,2019-01-30T07:12:36,2019-01-30T17:57:15,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-01-31,14,9.9,12.5,14,7.9,12.4,10.2,86.3,3.319,100,37.5,rain,0,0,25.9,14.9,72.9,1020.5,96.1,10.7,34.3,2.9,2,,2019-01-31T07:12:03,2019-01-31T17:58:07,0.86,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-02-01,19,13.1,15.5,19,13.1,15.5,14.5,93.7,0.326,100,20.83,rain,0,0,18.4,13.1,43.9,1019.9,96.3,6.6,81.4,7.1,4,,2019-02-01T07:11:29,2019-02-01T17:58:58,0.89,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-02-02,18.7,14.9,15.9,18.7,14.9,15.9,14.8,93.3,0.44,100,16.67,rain,0,0,20.5,10.7,62.8,1018.9,95,8.6,66.5,5.7,4,,2019-02-02T07:10:53,2019-02-02T17:59:49,0.93,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-02-03,21.6,15,17.9,21.6,15,17.9,17.6,98.3,1.588,100,25,rain,0,0,20.5,8.9,80.3,1013.9,96,5.1,40.3,3.6,2,,2019-02-03T07:10:16,2019-02-03T18:00:40,0.96,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-02-04,25,19,21.3,25,19,21.3,19.7,91.7,0.099,100,4.17,rain,0,0,24.1,11.7,204.6,1012.8,79.2,6.3,61.1,5.2,3,,2019-02-04T07:09:38,2019-02-04T18:01:31,0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-02-05,24.6,19.9,21.4,24.6,19.9,21.4,20.2,93.2,0,0,0,,0,0,29.5,13,152.3,1013.5,88.3,8.9,57.3,4.9,2,,2019-02-05T07:08:58,2019-02-05T18:02:21,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-02-06,26.9,21,23.1,28.1,21,23.1,20.6,87.3,0,0,0,,0,0,41.4,21.7,173.4,1012.7,86.1,10.4,106.7,9.2,5,,2019-02-06T07:08:17,2019-02-06T18:03:11,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-02-07,24,7.5,17.5,24,3.5,17,12.7,74.8,0.281,100,12.5,rain,0,0,51.1,35.3,335,1017.9,84,13.3,45.3,3.8,2,,2019-02-07T07:07:34,2019-02-07T18:04:01,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-02-08,7.1,3.1,4.7,3,-1.9,0.2,-4.7,51.2,0,0,0,,0,0,53.6,30.7,3.2,1031.8,83.6,16,34.2,2.9,1,,2019-02-08T07:06:51,2019-02-08T18:04:50,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-02-09,7.1,3,5.5,6.7,-1.5,2.4,-1.8,59.7,0,0,0,,0,0,35.3,21.1,31.5,1030.9,98.1,16,45.9,3.8,2,,2019-02-09T07:06:06,2019-02-09T18:05:39,0.16,Overcast,Cloudy skies throughout the day.,cloudy,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-02-10,19.4,7.6,14,19.4,4.9,13.5,10.5,80.1,0,0,0,,0,0,29.5,15.9,68.2,1021.6,99.3,10.6,101.3,8.7,7,,2019-02-10T07:05:19,2019-02-10T18:06:28,0.2,Overcast,Cloudy skies throughout the day.,cloudy,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-02-11,23.8,17,20.1,23.8,17,20.1,19.2,95.2,4.904,100,70.83,rain,0,0,31.7,15.5,184.4,1012.6,90.9,8.6,77.6,6.8,5,,2019-02-11T07:04:32,2019-02-11T18:07:16,0.23,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-02-12,20.1,10.9,16,20.1,10.9,16,4.6,50.3,0.09,100,12.5,rain,0,0,48.1,25.9,323.1,1020,22.6,15.6,153.3,13.2,7,,2019-02-12T07:03:43,2019-02-12T18:08:04,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-02-13,18.8,7.6,12.7,18.8,6,12.2,2.8,52.8,0,0,0,,0,0,40.7,15.1,64.4,1023.9,6.4,16,185.8,16,8,,2019-02-13T07:02:53,2019-02-13T18:08:52,0.3,Clear,Clear conditions throughout the day.,clear-day,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-02-14,24,12.8,17.9,24,12.8,17.9,12.9,74.7,0,0,0,,0,0,45.3,20.5,188.1,1013.6,28.8,15,156.5,13.4,8,,2019-02-14T07:02:02,2019-02-14T18:09:39,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960,D0326"
Houston,2019-02-15,24.4,16.7,20,24.4,16.7,20,17.7,88,0,0,0,,0,0,35.7,20.2,196.6,1008.9,70.5,11.2,121.3,10.4,8,,2019-02-15T07:01:10,2019-02-15T18:10:26,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-02-16,21,14.5,18.7,21,14.5,18.7,16.3,86.4,0.143,100,8.33,rain,0,0,24.1,18.7,4,1007.2,99.1,5.5,55,4.6,3,,2019-02-16T07:00:17,2019-02-16T18:11:12,0.4,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-02-17,21,10.4,16.2,21,10.4,16.2,13,82.2,0.528,100,20.83,rain,0,0,42.6,28.6,358.8,1009.1,69.3,10.2,57.7,5,5,,2019-02-17T06:59:23,2019-02-17T18:11:58,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-02-18,18.5,8.1,12.6,18.5,4.2,11.5,0.4,45.9,0,0,0,,0,0,44.6,31.2,29.1,1019.7,27.6,16,170.4,14.6,7,,2019-02-18T06:58:28,2019-02-18T18:12:44,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-02-19,11,8,9.3,11,4.5,7.3,6.7,86.1,1.516,100,37.5,rain,0,0,44.6,24.7,28.1,1013.8,96.1,7,20.7,1.6,1,,2019-02-19T06:57:32,2019-02-19T18:13:29,0.5,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960,D0326"
Houston,2019-02-20,18.6,7.1,12,18.6,4.1,10.9,5.8,70.6,0.465,100,25,rain,0,0,29.5,19,345.6,1013.8,61.3,13.1,163.4,14.2,8,,2019-02-20T06:56:35,2019-02-20T18:14:14,0.54,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-02-21,13,11,11.6,13,11,11.6,9.9,90.5,2.904,100,45.83,rain,0,0,29.5,22.8,28.8,1013.1,97.5,6,23.6,1.8,1,,2019-02-21T06:55:37,2019-02-21T18:14:58,0.57,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-02-22,22.1,10.1,15.8,22.1,10.1,15.8,15.5,98.4,0.174,100,8.33,rain,0,0,20.5,15.2,29.4,1013,99.2,1.5,67.9,5.9,3,,2019-02-22T06:54:38,2019-02-22T18:15:42,0.6,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960,D0326"
Houston,2019-02-23,23.9,17.6,21.6,23.9,17.6,21.6,12.1,63.8,0.148,100,8.33,rain,0,0,39,20,259.5,1012.6,56.3,9.7,92,7.8,6,,2019-02-23T06:53:38,2019-02-23T18:16:26,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-02-24,20.3,10,15.3,20.3,8,15.2,-2.5,30.8,0,0,0,,0,0,41.7,27.5,1.3,1024.5,4.3,16,207.4,17.7,8,,2019-02-24T06:52:37,2019-02-24T18:17:09,0.67,Clear,Clear conditions throughout the day.,clear-day,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-02-25,15,10.9,12.6,15,10.9,12.6,5.2,63.6,2.681,100,25,rain,0,0,35.3,19.5,63.3,1024.8,63.8,14.6,48.4,4.1,3,,2019-02-25T06:51:36,2019-02-25T18:17:52,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960,D0326"
Houston,2019-02-26,16.6,13,14.8,16.6,13,14.8,14.5,98.1,20.259,100,50,rain,0,0,32.1,19.4,60,1020.2,96.9,4,24.8,2.2,1,,2019-02-26T06:50:33,2019-02-26T18:18:34,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KHOU,72059400188,AN537,AN528,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-02-27,21.4,16.6,19,21.4,16.6,19,18.9,99.3,1.109,100,29.17,rain,0,0,,4.4,38.9,1017.3,97.5,1.2,53,4.5,2,,2019-02-27T06:49:30,2019-02-27T18:19:16,0.77,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"KHOU,72059400188,AN537,KIAH,AN528,E5607,KMCJ,72244012918,72243012960"
Houston,2019-02-28,19.9,7.2,12.3,19.9,4.8,11.3,12.1,99.2,2.513,100,25,rain,0,0,25.9,16.2,341.8,1016.9,98.3,4.2,27.4,2.2,1,,2019-02-28T06:48:27,2019-02-28T18:19:58,0.8,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-03-01,18.5,8,13,18.5,6,12.5,11.2,89.4,0,0,0,,0,0,,12.4,10,1017.3,98.9,6.7,134.8,11.8,5,,2019-03-01T06:47:22,2019-03-01T18:20:40,0.84,Overcast,Cloudy skies throughout the day.,cloudy,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960,D0326"
Houston,2019-03-02,23.8,14.1,18.5,23.8,14.1,18.5,16.6,89.5,0.014,100,4.17,rain,0,0,18.4,13.2,41.8,1016.5,93.1,5.7,207.6,18.1,5,,2019-03-02T06:46:17,2019-03-02T18:21:21,0.87,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"KHOU,72059400188,KIAH,AN528,E5607,KMCJ,72244012918,72243012960,D0326"
Houston,2019-03-03,18.9,6.2,13,18.9,2.5,12.1,11.5,90.4,0.282,100,20.83,rain,0,0,46.3,31.8,345.8,1015.8,99.9,8.7,38.6,3.2,2,,2019-03-03T06:45:12,2019-03-03T18:22:01,0.9,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-03-04,6.1,2.1,3.1,3.2,-3.6,-1.6,-2.4,67.9,0,0,0,,0,0,42.2,29.8,348,1025.3,94.9,15,50,4.3,2,,2019-03-04T06:44:05,2019-03-04T18:22:42,0.94,Overcast,Cloudy skies throughout the day.,cloudy,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960,D0326"
Houston,2019-03-05,9.1,-1,4,6.9,-7.1,0.2,-10,37.1,0,0,0,,0,0,37.1,24.6,349.2,1030.7,19.9,16,183.5,15.7,7,,2019-03-05T06:42:58,2019-03-05T18:23:22,0.97,Clear,Clear conditions throughout the day.,clear-day,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960,D0326"
Houston,2019-03-06,15.2,2.4,8.9,15.2,-1.3,7.6,-2.2,47.1,0,0,0,,0,0,38.9,17.5,56.1,1029.9,30.7,15.9,210,18.1,9,,2019-03-06T06:41:51,2019-03-06T18:24:02,0,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-03-07,21,12.6,17.3,21,12.6,17.3,15.7,91,0.265,100,25,rain,0,0,27.7,15.6,167.9,1020.2,94.8,11.4,66.1,5.8,3,,2019-03-07T06:40:43,2019-03-07T18:24:41,0.04,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-03-08,27.8,20,22.7,29.6,20,22.8,20.7,89.3,0,0,0,,0,0,40.9,22.7,183.4,1013.7,92.6,9.3,110.7,9.4,6,,2019-03-08T06:39:35,2019-03-08T18:25:20,0.07,Overcast,Cloudy skies throughout the day.,cloudy,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960"
Houston,2019-03-09,27.8,21,23.5,29.2,21,23.7,20.3,83.9,0,0,0,,0,0,38.9,20.2,186.3,1010.1,84,10.4,116,9.9,8,,2019-03-09T06:38:26,2019-03-09T18:25:59,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960,D0326"
Houston,2019-03-10,26.3,20.9,22.8,26.3,20.9,22.8,20.5,88.1,0,0,0,,0,0,18.4,9.6,64.5,1015.4,81.7,8.4,108.8,9.1,5,,2019-03-10T07:37:16,2019-03-10T19:26:38,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960,D0326"
Houston,2019-03-11,27.8,20,23.2,29.2,20,23.4,20.2,84.6,0,0,0,,0,0,25.9,21.5,68.6,1019.6,81.7,9.2,139.6,12.4,5,,2019-03-11T07:36:07,2019-03-11T19:27:16,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,AN528,E5607,KMCJ,72244012918,72243012960,D0326"
Houston,2019-03-12,21.1,18.9,20,21.1,18.9,20,19.5,96.9,0,0,0,,0,0,46.4,14,99.7,1018.3,99.9,4.4,52.8,4.6,2,,2019-03-12T07:34:57,2019-03-12T19:27:54,0.21,Overcast,Cloudy skies throughout the day.,cloudy,"KHOU,72059400188,AN528,KIAH,E5607,KMCJ,72244012918,72243012960,D0326"
